user_id,farm_name,land_certificate,address,city_id,province_id,status
1,Mitra Agro,CERT-0001,"Jl. Diponegoro No. 88, Kota Bandung",187,13,active
2,Panen Lestari,CERT-0002,"Jl. Kartini No. 221, Kota Bogor",190,13,active
3,Berkah Bumi,CERT-0003,"Jl. Teratai No. 221, Kota Depok",193,13,active
4,Hasil Sejahtera,CERT-0004,"Jl. Cempaka No. 34, Kota Semarang",228,14,active
5,Berkah Panen,CERT-0005,"Jl. Anggrek No. 144, Kota Surakarta",229,14,active
6,Pangan Lestari,CERT-0006,"Jl. Diponegoro No. 120, Kota Yogyakarta",235,15,active
7,Subur Jaya,CERT-0007,"Jl. Mawar No. 64, Kota Surabaya",273,16,active
8,Koperasi Tani,CERT-0008,"Jl. Merdeka No. 75, Kota Malang",269,16,active
9,Makmur Berkah,CERT-0009,"Jl. Durian No. 158, Kota Kediri",267,16,inactive
10,Tani Mandiri,CERT-0010,"Jl. Durian No. 231, Kota Jakarta Pusat",155,11,active
11,Sumber Rejeki,CERT-0011,"Jl. Kartini No. 240, Kota Jakarta Selatan",155,11,active
12,Tani Mandiri,CERT-0012,"Jl. Kartini No. 49, Kota Jakarta Timur",155,11,active
13,Pangan Lestari,CERT-0013,"Jl. Mawar No. 132, Kota Tangerang",167,12,active
14,Bumi Mandiri,CERT-0014,"Jl. Pemuda No. 79, Kota Serang",166,12,active
15,Berkah Bumi,CERT-0015,"Jl. Sudirman No. 242, Kota Medan",51,2,active
16,Pangan Lestari,CERT-0016,"Jl. Mawar No. 248, Kota Palembang",123,8,active
17,Tani Sentosa,CERT-0017,"Jl. Kenanga No. 91, Kota Bandar Lampung",153,10,active
18,Koperasi Tani,CERT-0018,"Jl. Pahlawan No. 127, Kota Denpasar",282,17,active
19,Berkah Bumi,CERT-0019,"Jl. Durian No. 168, Kota Mataram",292,18,active
20,Sumber Rejeki,CERT-0020,"Jl. Pahlawan No. 138, Kota Makassar",432,29,active
21,Berkah Panen,CERT-0021,"Jl. Sudirman No. 111, Kota Bandung",187,13,active
22,Mitra Tani,CERT-0022,"Jl. Pahlawan No. 187, Kota Bogor",190,13,active
23,Berkah Bumi Utama,CERT-0023,"Jl. Cempaka No. 94, Kota Depok",193,13,active
24,Kebun Abadi,CERT-0024,"Jl. Merdeka No. 146, Kota Semarang",228,14,active
25,Tani Sentosa,CERT-0025,"Jl. Kartini No. 142, Kota Surakarta",229,14,active
26,Tunas Harapan,CERT-0026,"Jl. Cempaka No. 130, Kota Yogyakarta",235,15,active
27,Koperasi Pangan,CERT-0027,"Jl. Anggrek No. 72, Kota Surabaya",273,16,active
28,Tani Sentosa,CERT-0028,"Jl. Kenanga No. 175, Kota Malang",269,16,active
29,Berkah Bumi,CERT-0029,"Jl. Ahmad Yani No. 250, Kota Kediri",267,16,active
30,Tani Mandiri Utama,CERT-0030,"Jl. Kartini No. 204, Kota Jakarta Pusat",155,11,active
31,Sumber Rejeki Utama,CERT-0031,"Jl. Anggrek No. 241, Kota Jakarta Selatan",155,11,suspended
32,Tani Mandiri Utama,CERT-0032,"Jl. Ahmad Yani No. 51, Kota Jakarta Timur",155,11,active
33,Pangan Lestari Utama,CERT-0033,"Jl. Cempaka No. 129, Kota Tangerang",167,12,active
34,Mitra Agro,CERT-0034,"Jl. Merdeka No. 36, Kota Serang",166,12,active
35,Berkah Bumi Utama,CERT-0035,"Jl. Mangga No. 122, Kota Medan",51,2,suspended
36,Koperasi Bumi,CERT-0036,"Jl. Ahmad Yani No. 156, Kota Palembang",123,8,active
37,Agro Sentosa,CERT-0037,"Jl. Ahmad Yani No. 84, Kota Bandar Lampung",153,10,active
38,Sumber Rejeki,CERT-0038,"Jl. Kartini No. 42, Kota Denpasar",282,17,inactive
39,Agro Mandiri,CERT-0039,"Jl. Kenanga No. 190, Kota Mataram",292,18,active
40,Sumber Rejeki Utama,CERT-0040,"Jl. Kenanga No. 87, Kota Makassar",432,29,active
41,Tani Sentosa,CERT-0041,"Jl. Anggrek No. 137, Kota Bandung",187,13,active
42,Makmur Berkah,CERT-0042,"Jl. Kenanga No. 77, Kota Bogor",190,13,active
43,Berkah Bumi Mandiri,CERT-0043,"Jl. Merdeka No. 95, Kota Depok",193,13,active
44,Mitra Panen,CERT-0044,"Jl. Sudirman No. 107, Kota Semarang",228,14,active
45,Koperasi Mitra,CERT-0045,"Jl. Mangga No. 231, Kota Surakarta",229,14,active
46,Panen Raya,CERT-0046,"Jl. Teratai No. 162, Kota Yogyakarta",235,15,active
47,Kebun Abadi,CERT-0047,"Jl. Mawar No. 68, Kota Surabaya",273,16,active
48,Agro Sentosa,CERT-0048,"Jl. Mangga No. 249, Kota Malang",269,16,inactive
49,Agro Mandiri,CERT-0049,"Jl. Kenanga No. 59, Kota Kediri",267,16,active
50,Koperasi Mitra,CERT-0050,"Jl. Kenanga No. 123, Kota Jakarta Pusat",155,11,active
51,Berkah,CERT-0051,"Jl. Subur No. 9, Kabupaten Bireuen",13,1,active
52,Agro,CERT-0052,"Jl. Tani No. 81, Kabupaten Tapanuli Tengah",46,2,active
53,Panen,CERT-0053,"Jl. Lembah No. 157, Kabupaten Pasaman Barat",63,3,active
54,Berkah,CERT-0054,"Jl. Bibit No. 84, Kota Dumai",86,4,active
55,Abadi,CERT-0055,"Jl. Berkah No. 118, Kota Tanjungpinang",94,5,active
56,Abadi,CERT-0056,"Jl. Lembah No. 223, Kota Sungai Penuh",105,6,active
57,Lestari,CERT-0057,"Jl. Subur No. 246, Kabupaten Ogan Komering Ulu Selatan",116,7,active
58,Lestari,CERT-0058,"Jl. Ladang No. 198, Kabupaten Belitung",127,8,active
59,Jaya,CERT-0059,"Jl. Sawah No. 144, Kabupaten Kaur",133,9,active
60,Lestari,CERT-0060,"Jl. Desa No. 140, Kota Metro",154,10,active
61,Sejahtera,CERT-0061,"Jl. Lembah No. 38, Kabupaten Administrasi Kepulauan Seribu",155,11,inactive
62,Agro,CERT-0062,"Jl. Tani No. 168, Kabupaten Serang",163,12,active
63,Panen,CERT-0063,"Jl. Bibit No. 70, Kabupaten Sukabumi",184,13,active
64,Lestari,CERT-0064,"Jl. Dusun No. 190, Kota Tegal",230,14,active
65,Tani,CERT-0065,"Jl. Bibit No. 58, Kabupaten Gunungkidul",232,15,active
66,Agro,CERT-0066,"Jl. Gunung No. 121, Kabupaten Banyuwangi",237,16,active
67,Tani,CERT-0067,"Jl. Damai No. 41, Kabupaten Buleleng",276,17,inactive
68,Jaya,CERT-0068,"Jl. Lembah No. 247, Kabupaten Sumbawa Barat",290,18,active
69,Tani,CERT-0069,"Jl. Panen Raya No. 167, Kabupaten Manggarai Timur",302,19,inactive
70,Tani,CERT-0070,"Jl. Berkah No. 107, Kabupaten Sambas",323,20,inactive
71,Tani,CERT-0071,"Jl. Kebun No. 202, Kota Palangka Raya",342,21,suspended
72,Tani,CERT-0072,"Jl. Dusun No. 155, Kabupaten Hulu Sungai Tengah",347,22,active
73,Lestari,CERT-0073,"Jl. Desa No. 140, Kabupaten Kutai Kartanegara",358,23,active
74,Abadi,CERT-0074,"Jl. Subur No. 208, Kabupaten Malinau",367,24,active
75,Jaya,CERT-0075,"Jl. Gunung No. 48, Kabupaten Bolaang Mongondow Timur",373,25,active
76,Lestari,CERT-0076,"Jl. Lembah No. 50, Kabupaten Gorontalo",388,26,active
77,Mandiri,CERT-0077,"Jl. Bibit No. 84, Kabupaten Tojo Una-Una",402,27,active
78,Agro,CERT-0078,"Jl. Berkah No. 123, Kabupaten Polewali Mandar",410,28,active
79,Tani,CERT-0079,"Jl. Subur No. 115, Kabupaten Kepulauan Selayar",418,29,active
80,Lestari,CERT-0080,"Jl. Dusun No. 3, Kabupaten Kolaka",440,30,active
81,Panen,CERT-0081,"Jl. Panen Raya No. 120, Kabupaten Maluku Tengah",457,31,active
82,Abadi,CERT-0082,"Jl. Damai No. 181, Kabupaten Pulau Morotai",469,32,inactive
83,Lestari,CERT-0083,"Jl. Subur No. 57, Kabupaten Jayapura",474,33,active
84,Berkah,CERT-0084,"Jl. Dusun No. 96, Kota Kediri",267,34,active
85,Abadi,CERT-0085,"Jl. Cemara No. 56, Kabupaten Merauke",492,35,active
86,Abadi,CERT-0086,"Jl. Gunung No. 93, Kabupaten Dogiyai",494,36,active
87,Tani,CERT-0087,"Jl. Damai No. 130, Kabupaten Lanny Jaya",502,37,active
88,Berkah,CERT-0088,"Jl. Cemara No. 134, Kabupaten Tambrauw",513,38,active
89,Makmur,CERT-0089,"Jl. Damai No. 131, Kabupaten Aceh Tamiang",7,1,active
90,Jaya,CERT-0090,"Jl. Kebun No. 117, Kabupaten Batu Bara",25,2,active
91,Jaya,CERT-0091,"Jl. Ladang No. 186, Kabupaten Sijunjung",65,3,active
92,Tani,CERT-0092,"Jl. Dusun No. 19, Kabupaten Kepulauan Meranti",80,4,active
