seller_id,category_id,name,description,unit_id,min_order_qty,price_per_unit,stock_quantity,is_negotiable
75,11,Bayam Hijau Organik,"Bayam Hijau Organik segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,9174,70,True
9,11,Bayam Hijau Organik,"Bayam Hijau Organik segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,10842,109,True
71,11,Bayam Hijau Organik,"Bayam Hijau Organik segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,10817,99,True
131,11,Kangkung Segar,"Kangkung Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,25,7074,138,True
29,11,Kangkung Segar,"Kangkung Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,25,8775,81,True
147,11,Kangkung Segar,"Kangkung Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,25,8774,35,True
185,11,Sawi Hijau,"Sawi Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,9155,67,False
113,11,Sawi Hijau,"Sawi Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,10707,91,False
140,11,Sawi Hijau,"Sawi Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,9242,114,False
9,11,Pakcoy Segar,"Pakcoy Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,11454,115,True
116,11,Pakcoy Segar,"Pakcoy Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,11780,135,True
68,11,Pakcoy Segar,"Pakcoy Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,12992,50,True
189,11,Selada Hijau,"Selada Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,15851,90,False
151,11,Selada Hijau,"Selada Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,15496,53,False
158,11,Daun Bawang Segar,"Daun Bawang Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,11940,71,True
36,11,Daun Bawang Segar,"Daun Bawang Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,12007,54,True
137,12,Tomat Merah Premium,"Tomat Merah Premium segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,20,15174,225,True
72,12,Tomat Merah Premium,"Tomat Merah Premium segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,20,15918,211,True
153,12,Tomat Merah Premium,"Tomat Merah Premium segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,20,13953,450,True
174,12,Cabai Merah Keriting,"Cabai Merah Keriting segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,45553,349,True
25,12,Cabai Merah Keriting,"Cabai Merah Keriting segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,45025,422,True
35,12,Cabai Merah Keriting,"Cabai Merah Keriting segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,44404,119,True
34,12,Terong Ungu,"Terong Ungu segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,2,12514,90,False
64,12,Terong Ungu,"Terong Ungu segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,2,12939,177,False
101,12,Cabai Rawit Merah,"Cabai Rawit Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,40169,237,True
126,12,Cabai Rawit Merah,"Cabai Rawit Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,46725,165,True
20,12,Timun Segar,"Timun Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,8707,206,False
163,12,Timun Segar,"Timun Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,7766,202,False
178,12,Paprika Hijau,"Paprika Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,24660,78,True
95,12,Paprika Hijau,"Paprika Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,25614,121,True
188,12,Labu Siam,"Labu Siam segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,7484,94,False
24,12,Labu Siam,"Labu Siam segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,7344,80,False
17,13,Wortel Segar,"Wortel Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,50,18247,145,True
137,13,Wortel Segar,"Wortel Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,50,15974,75,True
102,13,Wortel Segar,"Wortel Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,50,14961,106,True
56,13,Wortel Segar,"Wortel Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,50,14226,149,True
88,13,Lobak Putih,"Lobak Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,2,11238,109,True
175,13,Lobak Putih,"Lobak Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,2,14107,235,True
196,13,Lobak Putih,"Lobak Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,2,11534,375,True
113,13,Bawang Merah,"Bawang Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,34426,179,True
117,13,Bawang Merah,"Bawang Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,34461,314,True
1,13,Bawang Merah,"Bawang Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,33439,144,True
71,13,Bawang Putih,"Bawang Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,33534,74,False
24,13,Bawang Putih,"Bawang Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,36727,217,False
168,13,Bawang Putih,"Bawang Putih segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,30293,211,False
186,13,Bit Merah Segar,"Bit Merah Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,16564,91,True
180,13,Bit Merah Segar,"Bit Merah Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,19099,22,True
194,13,Bit Merah Segar,"Bit Merah Segar segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,17874,36,True
58,14,Mangga Harum Manis,"Mangga Harum Manis segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,1,25295,23,False
133,14,Mangga Harum Manis,"Mangga Harum Manis segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,1,25408,108,False
109,14,Pepaya California,"Pepaya California segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,20,15124,159,True
178,14,Pepaya California,"Pepaya California segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,20,16403,529,True
27,14,Pisang Cavendish,"Pisang Cavendish segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,20165,143,True
81,14,Pisang Cavendish,"Pisang Cavendish segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,20261,287,True
35,14,Melon Hijau,"Melon Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,25,25253,59,False
165,14,Melon Hijau,"Melon Hijau segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,25,22201,37,False
167,14,Semangka Merah,"Semangka Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,11784,196,True
43,14,Semangka Merah,"Semangka Merah segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,12461,76,True
106,14,Durian Monthong,"Durian Monthong segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,52798,75,True
158,14,Durian Monthong,"Durian Monthong segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,5,43800,22,True
193,14,Nanas Madu,"Nanas Madu segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,15403,83,False
32,14,Nanas Madu,"Nanas Madu segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,17084,74,False
36,14,Rambutan Binjai,"Rambutan Binjai segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,9330,33,True
64,14,Rambutan Binjai,"Rambutan Binjai segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,10,10160,91,True
156,15,Apel Fuji,"Apel Fuji segar dan berkualitas, cocok untuk kebutuhan pasar tradisional maupun modern.",1,1,32605,178,True
